QuestionLink,Title,Score,Tags,
"https://stackoverflow.com/questions/68836551","Keras AttributeError: 'Sequential' object has no attribute 'predict_classes'","67","<python><keras>","keras"
"https://stackoverflow.com/questions/67018079","Error in ""from keras.utils import to_categorical""","33","<python><keras>","keras"
"https://stackoverflow.com/questions/69783897","Compute class weight function issue in 'sklearn' library when used in 'Keras' classification (Python 3.8, only in VS code)","28","<python><keras><scikit-learn><classification>","keras"
"https://stackoverflow.com/questions/65451045","CNN model conditional layer in Keras","15","<python><machine-learning><keras><deep-learning><neural-network>","keras"
"https://stackoverflow.com/questions/65718126","Adaptive Threshold error: (-215:Assertion failed) src.type() == CV_8UC1 in function 'adaptiveThreshold'","14","<python><opencv><keras><adaptive-threshold>","keras"
"https://stackoverflow.com/questions/65549053","TypeError: '<' not supported between instances of 'function' and 'str'","12","<python><keras><model>","keras"
"https://stackoverflow.com/questions/67695451","Cannot import to_categorical from keras in Google Colab","9","<python><keras><google-colaboratory>","keras"
"https://stackoverflow.com/questions/67647843","Is there a way to ensemble two keras (h5) models trained for same classes","7","<python><machine-learning><keras><ensemble-learning><image-classification>","keras"
"https://stackoverflow.com/questions/72334642","ImportError: cannot import name 'img_to_array' from 'keras.preprocessing.image'","7","<python><keras>","keras"
"https://stackoverflow.com/questions/71111005","ModuleNotFoundError: No module named 'keras.applications.resnet50 on google colab","7","<python><machine-learning><keras><google-colaboratory><resnet>","keras"
"https://stackoverflow.com/questions/64983112","Keras vertical ensemble model with condition in between","7","<python><python-3.x><keras><deep-learning><ensemble-learning>","keras"
"https://stackoverflow.com/questions/66192675","Why GAN is unable to generate samples from some distributions?","7","<python><keras><deep-learning><generative-adversarial-network>","keras"
"https://stackoverflow.com/questions/63779927","TypeError: categorical_crossentropy() missing 2 required positional arguments: 'y_true' and 'y_pred'","6","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/64881855","Kernel and Recurrent Kernel in Keras LSTMs","6","<python><machine-learning><keras><lstm>","keras"
"https://stackoverflow.com/questions/68737130","Error while import keras: AttributeError: module 'tensorflow.compat.v2.__internal__' has no attribute 'register_clear_session_function'","6","<python><keras>","keras"
"https://stackoverflow.com/questions/66952606","What is this flatten layer doing in my LSTM?","5","<python><machine-learning><keras><lstm><flatten>","keras"
"https://stackoverflow.com/questions/64775882","Trying to solve data dimension mismatch in keras","5","<r><keras>","keras"
"https://stackoverflow.com/questions/68374999","Is this the correct use of sklearn classification report for multi-label classification reports?","5","<keras><scikit-learn><multilabel-classification><precision-recall>","keras"
"https://stackoverflow.com/questions/68428331","Is validation_split=0.2 in Keras a cross-validation?","5","<python><validation><keras><scikit-learn><deep-learning>","keras"
"https://stackoverflow.com/questions/64107989","Train-Test split for Time Series Data to be used for LSTM","5","<python><keras><time-series><regression><lstm>","keras"
"https://stackoverflow.com/questions/63950888","TypeError: Failed to convert object of type Sparsetensor to Tensor","4","<python><keras>","keras"
"https://stackoverflow.com/questions/65657277","""Cannot find reference"" when import from Keras","4","<python><keras><pycharm>","keras"
"https://stackoverflow.com/questions/70115749","Is there any reason for changing the channels order of an image from RGB to BGR?","4","<python><opencv><image-processing><keras><computer-vision>","keras"
"https://stackoverflow.com/questions/66667550","training loss is nan in keras LSTM","4","<keras><deep-learning><time-series><lstm>","keras"
"https://stackoverflow.com/questions/68091819","Keras binary classification different dataset same prediction results","4","<c#><keras><classification>","keras"
"https://stackoverflow.com/questions/63869651","Unable to import modules when using Weights and Biases' sweeps","4","<numpy><keras><modulenotfounderror>","keras"
"https://stackoverflow.com/questions/72201150","Siamese Network for binary classification with pre-encoded inputs","4","<python><keras><classification><similarity><siamese-network>","keras"
"https://stackoverflow.com/questions/63394030","per-class validation accuracy during training","3","<python><validation><keras><neural-network>","keras"
"https://stackoverflow.com/questions/64468258","Error in Image generator : Asked to retrieve element 0, but the Sequence has length 0","3","<python><keras><image-generation><image-classification>","keras"
"https://stackoverflow.com/questions/72965428","Why is a CNN model struggling to classify a colored MNIST?","3","<python><keras><conv-neural-network><rgb><mnist>","keras"
"https://stackoverflow.com/questions/65163961","Displaying model summary on dash","3","<python><keras><dashboard><plotly-dash>","keras"
"https://stackoverflow.com/questions/63176966","Adding AdditiveGaussianNoise to a single image - AssertionError: Expected boolean as argument for 'return_batch'","3","<python><machine-learning><keras><deep-learning><data-augmentation>","keras"
"https://stackoverflow.com/questions/64117006","Best practice to include categorical features along with sequences in LSTM for sequence prediction?","3","<python><keras><lstm>","keras"
"https://stackoverflow.com/questions/62905851","ValueError: Found two metrics with the same name: recall","3","<keras>","keras"
"https://stackoverflow.com/questions/63907380","Incremental learning in keras","3","<python-3.x><keras><online-machine-learning>","keras"
"https://stackoverflow.com/questions/74743921","Error optimizer parameter not legal in Keras function","3","<python><keras><optimization>","keras"
"https://stackoverflow.com/questions/73849758","ValueError: Dimensions must be equal, but are 68 and 10 for '{{node mean_squared_error/SquaredDifference}} = SquaredDifference[T=DT_FLOAT]","3","<python><machine-learning><deep-learning><tf.keras><keras-layer>","keras"
"https://stackoverflow.com/questions/64544912","Why can't I fit the image data into model.predict in my CNN?","3","<keras><neural-network><runtime-error><conv-neural-network>","keras"
"https://stackoverflow.com/questions/66220774","Difference between the input shape for a 1D CNN, 2D CNN and 3D CNN","3","<python><keras><conv-neural-network><max-pooling><functional-api>","keras"
"https://stackoverflow.com/questions/76017615","Covering two data frames into one array of dimentionality (nrow, ncol, 2)","3","<r><keras>","keras"
"https://stackoverflow.com/questions/74953148","Stacking classifiers (sklearn and keras models) via StackingCVClassifier problem","3","<machine-learning><keras><scikit-learn><deep-learning><mlxtend>","keras"
"https://stackoverflow.com/questions/66069636","Is using softmax as a hidden layer activation function acceptable in a regression (NOT classification) problem?","3","<python><keras><softmax>","keras"
"https://stackoverflow.com/questions/63214545","Binary classification of multiple independent Sequences using Keras","3","<python><keras><classification><sequence><prediction>","keras"
"https://stackoverflow.com/questions/63368962","Introduction part in Deep Learning with Keras using Python","3","<python><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/68290705","Loss function that ignores missing target values in keras for R","3","<r><keras><lstm><missing-data><loss-function>","keras"
"https://stackoverflow.com/questions/70010008","Unknown metric val_accuracy using Keras Tuner","3","<python><machine-learning><keras><google-colaboratory><keras-tuner>","keras"
"https://stackoverflow.com/questions/64115145","Keras Style Transfer remove zero-center by mean pixel","3","<python><image-processing><keras><deep-learning><style-transfer>","keras"
"https://stackoverflow.com/questions/64408681","Getting an error regarding input shape when calling predict function for a LSTM model","3","<python><keras><deep-learning><lstm>","keras"
"https://stackoverflow.com/questions/65418832","Keras Multi-class Multi-label image classification: handle a mix of independent and dependent labels & non-binary output","2","<python><keras><conv-neural-network><multilabel-classification><multiclass-classification>","keras"
"https://stackoverflow.com/questions/64984888","add layers into keras pretrained model","2","<python><keras><neural-network><conv-neural-network><resnet>","keras"
"https://stackoverflow.com/questions/65879627","LSTM for Video Input","2","<keras><neural-network><lstm><recurrent-neural-network>","keras"
"https://stackoverflow.com/questions/64929588","Keras multiple inputs masking","2","<python><keras><lstm><masking><multiple-input>","keras"
"https://stackoverflow.com/questions/75370436","Keras CategoryEncoding layer with time sequences","2","<python><keras><encoding><one-hot-encoding>","keras"
"https://stackoverflow.com/questions/65840137","Espresso exception: ""Invalid argument"":general shape kernel while loading mlmodel","2","<swift><machine-learning><tf.keras><coreml><handwriting-recognition>","keras"
"https://stackoverflow.com/questions/63351844","Why is my resnet50 model in Keras not converging?","2","<python><keras><deep-learning><resnet><transfer-learning>","keras"
"https://stackoverflow.com/questions/70817268","Predictions become irrational after adding weights to the fit","2","<python><keras><neural-network><training-data><weighted>","keras"
"https://stackoverflow.com/questions/74680849","Save keras-tuner results as pandas Dataframe","2","<python><pandas><dataframe><keras><keras-tuner>","keras"
"https://stackoverflow.com/questions/65842406","What is Keras ImageDataGenerator logic?","2","<python><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/63469762","Weights&Biases Sweep Keras K-Fold Validation","2","<python><keras><k-fold><wandb>","keras"
"https://stackoverflow.com/questions/64143407","model.predict() is not producing the expected labels?","2","<python><keras><classification>","keras"
"https://stackoverflow.com/questions/68188449","No module named 'keras_tuner'","2","<python><auto-keras>","keras"
"https://stackoverflow.com/questions/67105434","Keras.NET Using a Model as a Layer","2","<c#><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/64576751","Neural Network TypeError: unsupported operand type(s) for +=: 'Dense' and 'str'","2","<python><keras><neural-network><typeerror><relu>","keras"
"https://stackoverflow.com/questions/67789363","model.summary error for RNN. This model has not yet been built","2","<python><keras>","keras"
"https://stackoverflow.com/questions/68201786","Different loss values and accuracies of MLP regressor in keras and scikit-learn","2","<keras><scikit-learn><neural-network><regression><mlp>","keras"
"https://stackoverflow.com/questions/70060766","Autoencoder of CNN - decrease or increase filters?","2","<keras><conv-neural-network><autoencoder>","keras"
"https://stackoverflow.com/questions/67017306","Unable to save keras model in databricks","2","<keras><databricks><azure-databricks>","keras"
"https://stackoverflow.com/questions/72909937","Why is there no documentation for keras.engine?","2","<python><keras>","keras"
"https://stackoverflow.com/questions/71479172","LSTM Regression issues with masking and intuition (keras)","2","<python><machine-learning><keras><regression><lstm>","keras"
"https://stackoverflow.com/questions/67460062","Neural Network and Binary classification Guidance","2","<python><machine-learning><keras><neural-network>","keras"
"https://stackoverflow.com/questions/67597878","I want to add one-to-one layer to deep learning with keras","2","<python><keras><deep-learning><layer>","keras"
"https://stackoverflow.com/questions/72937432","Positive class in keras classification report has a precision of zero","2","<python><validation><keras>","keras"
"https://stackoverflow.com/questions/63206710","Multiply output of Keras layer with a scalar","2","<keras><keras-layer><tf.keras>","keras"
"https://stackoverflow.com/questions/66840108","Keras producing model with no accuracy","2","<python><machine-learning><keras>","keras"
"https://stackoverflow.com/questions/62953602","Dimensionality error while using CNN conv1d model","2","<machine-learning><keras><deep-learning><conv-neural-network>","keras"
"https://stackoverflow.com/questions/72978354","Get most similar words for matrix of word vectors","2","<python><pandas><keras><word2vec><euclidean-distance>","keras"
"https://stackoverflow.com/questions/65818241","LSTM-based architecture for EEG signal Classification based-on ""Channel LSTM""","2","<python><keras><classification><lstm><channel>","keras"
"https://stackoverflow.com/questions/65228352","Matrix inverse approximation with keras dense model","2","<python><matrix><keras><neural-network><multi-layer>","keras"
"https://stackoverflow.com/questions/63235060","import efficientnet.keras as efn - AttributeError: module 'keras.utils' has no attribute 'generic_utils'","2","<python><keras><error-handling><attributeerror><efficientnet>","keras"
"https://stackoverflow.com/questions/63358155","Concatenate CNN to compare two images","2","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/65834886","using class_weight for imbalancing data-.fit_generator()","2","<python><machine-learning><keras><deep-learning><cross-entropy>","keras"
"https://stackoverflow.com/questions/65589759","error message: '<' not supported between instances of 'ExponentialDecay' and 'int'","2","<python><keras>","keras"
"https://stackoverflow.com/questions/66531781","Multi-Scale CNN","2","<machine-learning><keras><deep-learning><conv-neural-network>","keras"
"https://stackoverflow.com/questions/65976622","Can I use embedding layer instead of one hot as category input?","2","<machine-learning><keras><deep-learning><prediction>","keras"
"https://stackoverflow.com/questions/72428445","error Node: 'binary_crossentropy/Cast' Cast string to float is not supported while train model","2","<python><machine-learning><nlp><lstm><tf.keras>","keras"
"https://stackoverflow.com/questions/64767814","Coremltools error while converting: ""'str' object has no attribute 'decode'""","2","<python><keras><coremltools>","keras"
"https://stackoverflow.com/questions/64222798","ValueError: Input 0 of layer lstm_17 is incompatible with the layer: expected ndim=3, found ndim=2. Full shape received: [None, 128]","2","<python><keras><runtime-error><google-colaboratory><tf.keras>","keras"
"https://stackoverflow.com/questions/65281281","Keras RandomRotation layer produces black lines?","2","<keras><conv-neural-network><data-augmentation>","keras"
"https://stackoverflow.com/questions/74327328","ModuleNotFoundError: No module named 'keras.layers.recurrent'","2","<python-3.x><keras><neural-network><lstm><recurrent-neural-network>","keras"
"https://stackoverflow.com/questions/70261352","OpenAI-Gym and Keras-RL: DQN expects a model that has one dimension for each action","2","<python><keras><reinforcement-learning><openai-gym>","keras"
"https://stackoverflow.com/questions/64296624","Sequence to Sequence classification with CNN-LSTM model in keras","2","<keras><classification><lstm><conv-neural-network>","keras"
"https://stackoverflow.com/questions/63114165","Shell restarts every time I import keras","2","<python><keras>","keras"
"https://stackoverflow.com/questions/63591477","can we extract VGG16/19 features for classes it was not trained on","2","<python-3.x><keras><deep-learning><feature-extraction><vgg-net>","keras"
"https://stackoverflow.com/questions/63465144","I am getting list 'index out of range' while using model.predict in keras","2","<machine-learning><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/66866731","Numpy.NET Getting Values","2","<c#><.net><numpy><keras><numpy-ndarray>","keras"
"https://stackoverflow.com/questions/63139072","Batch size for Stochastic gradient descent is length of training data and not 1?","2","<python><machine-learning><keras><neural-network><gradient-descent>","keras"
"https://stackoverflow.com/questions/63243042","Why do we use the smooth variable to calculate dice_coef or IoU in keras model?","2","<python><keras><deep-learning><loss-function><coefficients>","keras"
"https://stackoverflow.com/questions/63755812","Evaluating my model in new unseen dataset","2","<python><python-3.x><machine-learning><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/72504786","Problem with defining derived class in python","2","<python><keras><python-class>","keras"
"https://stackoverflow.com/questions/64863517","Overfitting in RNN for S&P prediction","2","<python><keras><deep-learning><neural-network>","keras"
"https://stackoverflow.com/questions/72156929","Stop Keras when fails to converge after a specified time","2","<r><keras><deep-learning>","keras"
"https://stackoverflow.com/questions/65873433","Get Keras model.summary() as table","2","<python><keras>","keras"
"https://stackoverflow.com/questions/65000544","Incomprehension of input data for the LSTM model","2","<python><keras><lstm>","keras"
"https://stackoverflow.com/questions/65970626","regularizer causes ""ValueError: Shapes must be equal rank""","2","<keras>","keras"
"https://stackoverflow.com/questions/72242669","ValueError: Shapes (None, 1) and (None, 5) are incompatible in keras","2","<google-colaboratory><tf.keras><valueerror><precision-recall>","keras"
"https://stackoverflow.com/questions/68834775","Troubleshooting Keras with LSTM and CNN for time series classification","2","<machine-learning><keras><deep-learning><time-series><conv-neural-network>","keras"
"https://stackoverflow.com/questions/70496446","Parallelizing Keras Model Predict Using Multiprocessing","2","<pandas><keras><multiprocessing><pool><weak-references>","keras"
"https://stackoverflow.com/questions/73742308","Looks like keras Normalization layer doesn't denormalize properly","2","<python><keras>","keras"
"https://stackoverflow.com/questions/71576422","Keras loss is NaN when training for semantic segmentation","2","<python><keras><deep-learning><computer-vision><semantic-segmentation>","keras"
"https://stackoverflow.com/questions/64524078","Python can't apply fit_generator to keras model with multiple input","1","<python><keras><deep-learning><neural-network><lstm>","keras"
"https://stackoverflow.com/questions/72779133","Wrap Keras LSTM layers in a function the correct way","1","<python><keras>","keras"
"https://stackoverflow.com/questions/70231462","Cannot Run Keras Model On GPU With Plaidml","1","<python><machine-learning><keras><plaidml>","keras"
"https://stackoverflow.com/questions/71779669","What is the default pooling size of Max pooling layers in Keras?","1","<python><keras>","keras"
"https://stackoverflow.com/questions/68705401","Keras issue with incompatible layer","1","<python><machine-learning><tf.keras>","keras"
"https://stackoverflow.com/questions/63713842","MNIST data classification not working on Google Colab","1","<python><keras><neural-network><google-colaboratory>","keras"
"https://stackoverflow.com/questions/65858291","Keras InvalidArgumentError in first convolutional block of UNET with 2 channel image","1","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/74981572","Python train convolutional neural network on csv numpy error input shape","1","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/66097537","'TFOptimizer' object has no attribute 'learning_rate'","1","<machine-learning><keras>","keras"
"https://stackoverflow.com/questions/74482158","keras.layers.MaxPool3D: ValueError","1","<keras><deep-learning>","keras"
"https://stackoverflow.com/questions/71224003","Scikeras with multioutput","1","<python><keras><scikit-learn>","keras"
"https://stackoverflow.com/questions/75578232","What is the input dimension for a LSTM in Keras?","1","<python><keras><lstm>","keras"
"https://stackoverflow.com/questions/64698542","TypeError: __init__() got multiple values for argument 'strides'","1","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/74062036","Keras seq2seq model Output Shapes","1","<keras><deep-learning><nlp><lstm><seq2seq>","keras"
"https://stackoverflow.com/questions/72141964","Value error in convolutional neural network due to data shape","1","<python><keras><conv-neural-network>","keras"
"https://stackoverflow.com/questions/75952814","Can't add random noise to weights inside a Keras Layer","1","<python><tf.keras><keras-layer>","keras"
"https://stackoverflow.com/questions/64714658","CIFAR-10 python architicture","1","<python><keras><deep-learning><conv-neural-network>","keras"
"https://stackoverflow.com/questions/64726074","Import Error: cannot import name 'export_saved_model'","1","<python><keras><spyder>","keras"
"https://stackoverflow.com/questions/66615069","Keras layers.pop() is not removing layer","1","<keras><neural-network><conv-neural-network><pre-trained-model>","keras"
"https://stackoverflow.com/questions/67192941","Neural Network with an input array of size 4 and output array of size 8","1","<python><arrays><machine-learning><keras><neural-network>","keras"
"https://stackoverflow.com/questions/63800742","A single-layer network sequential data example","1","<python><keras><neural-network>","keras"
"https://stackoverflow.com/questions/68625914","ModuleNotFoundError: No module named 'keras_contrib'","1","<python><keras>","keras"
"https://stackoverflow.com/questions/69137834","Keras ValueError: Dimensions must be equal, but are 2 and 32 for '{{node Equal}} with input shapes: [?,2], [?,32,32]","1","<python><keras><deep-learning><valueerror><dimensions>","keras"
"https://stackoverflow.com/questions/67289508","Can I split my long sequences into 3 smaller ones and use a stateful LSTM for 3 samples?","1","<keras><lstm><recurrent-neural-network><tf.keras><lstm-stateful>","keras"
"https://stackoverflow.com/questions/63822281","Issue with modifying a Keras class to include call function","1","<python><machine-learning><keras>","keras"
"https://stackoverflow.com/questions/63117269","AttributeError: 'Tensor' object has no attribute 'lower' when applying Global MaxPooling instead of GlobalAveragePooling","1","<python><keras><error-handling>","keras"
"https://stackoverflow.com/questions/67585579","Pytesseract or Keras OCR to extract text from image","1","<keras><deep-learning><ocr><tesseract><python-tesseract>","keras"
"https://stackoverflow.com/questions/68380317","OCR Machine Learning in Python -Training model with keras","1","<python><tkinter><keras><ocr>","keras"
"https://stackoverflow.com/questions/70376976","Channel width not displayed for data augmentation of Grayscale image","1","<python><numpy><machine-learning><keras><grayscale>","keras"
"https://stackoverflow.com/questions/65889068","ValueError while running keras model in Python","1","<python><keras><valueerror>","keras"
"https://stackoverflow.com/questions/62886184","Neural Network generating negative values","1","<python><keras><neural-network><sequential>","keras"
"https://stackoverflow.com/questions/69502330","Keras Tokenizer only tokenizing the first row of CSV file","1","<python><pandas><csv><keras>","keras"
"https://stackoverflow.com/questions/72189340","Unable to perform Grid Search for models receiving more than one input (Keras)","1","<python><neural-network><tf.keras><gridsearchcv>","keras"
"https://stackoverflow.com/questions/65915176","Yolo from scratch dataset and output","1","<python><numpy><keras><artificial-intelligence><yolo>","keras"
